Title,"Variant Sku",Type,"Variant Price","Variant Barcode","Variant ASIN","Variant MPN","Body (HTML)"
ced-34722028940ssss,ced34722028940ssss3,Variants,10.00,,,,"<p>ced-34722028940ssss</p>
"
ced-34722028940ssss,ced34722028940ssss5,Variants,10.00,,,,"<p>ced-34722028940ssss</p>
"
ced-34722028940ssss,ced34722028940ssss7,Variants,10.00,,,,"<p>ced-34722028940ssss</p>
"
ced-34722028940ssss,ced34722028940ssss2,Variants,10.00,,,,"<p>ced-34722028940ssss</p>
"
ced-34722028940ssss,ced34722028940ssss4,Variants,10.00,,,,"<p>ced-34722028940ssss</p>
"
ced-34722028940ssss,ced34722028940ssss6,Variants,10.00,,,,"<p>ced-34722028940ssss</p>
"
ced-34722028940ssss,ced34722028940ssss8,Variants,10.00,,,,"<p>ced-34722028940ssss</p>
"
2866,2866,Parent,0.00,,,,2866
2866,2866,Parent,0.00,,,,2866
,simple_14,"No Variants",10.00,1452369854712,,simple_14,"<p>dsfdsf</p>
"
variants_14,variants14,Parent,10.00,,,,"<p>variants_14</p>
"
variants_14,variants16,Variants,10.00,,,,"<p>variants_14</p>
"
variants_14,variants15,Variants,10.00,456852987456,,,"<p>variants_14</p>
"
neweggVariantsProduct,neweggVariantsProduct1,Parent,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct4,Variants,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct8,Variants,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct5,Variants,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct9,Variants,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct2,Variants,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct6,Variants,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct3,Variants,10.00,,,,neweggVariantsProduct
neweggVariantsProduct,neweggVariantsProduct7,Variants,10.00,,,,neweggVariantsProduct
,cxczx,"No Variants",4440.00,"234 567890675",,,newestproduct
,testagainnewe,"No Variants",1000.00,1325436436567,,,testagainnewe
,abc1212,"No Variants",23.00,,,abc1212,dffdf
,abc123,"No Variants",12.00,456789012350,,abc123,dfdgffg
,13,"No Variants",35.00,,,13,"good to handle and has various features"
,lap45,"No Variants",44000.00,,,lap45,"mini-size black color laptop.."
Watch,16,Parent,12.00,,jk7895458545,,"<p>marvelous</p>
"
Watch,14,Variants,12.00,,,,"<p>marvelous</p>
"
T-shirt,tees22,Parent,678.00,745365841259,,,"<p>half-sleeves t-shirt with different colors and sizes.</p>
"
T-shirt,tees23,Variants,678.00,749658125478,,,"<p>half-sleeves t-shirt with different colors and sizes.</p>
"
,cam13,"No Variants",50000.00,874458569033,,cam13,"HD camera with high picture quality."
,mem11,"No Variants",500.00,,,mem11,"A 16 GB memory card."
,bag23,"No Variants",1200.00,,,bag23,"A red color stylish handbag"
,shirt21,"No Variants",12.00,123456789432,,shirt21,"cotton and silk cloth"
,suit15,"No Variants",1500.00,,,suit15,"A black color stylish suits."
,te1,"No Variants",12.00,,,te1,"good to wear"
trousers,trouser66,Parent,899.00,,,,"A black colored full length trouser."
trousers,trouser68,Variants,899.00,,,,"A black colored full length trouser."
trousers,trouser67,Variants,899.00,,,,"A black colored full length trouser."
,sh3,"No Variants",17.00,456789321407,,sh3,"light and silk cloth"
,ha2,"No Variants",17.00,567894321234,,ha2,"good to read"
moto1,mo2,Parent,18.00,,,,"having various features"
moto1,mo4,Variants,18.00,,,,"having various features"
moto1,mo3,Variants,18.00,,,,"having various features"
,dress18,"No Variants",700.00,784562348762,,dress18,"A red and white colored frock."
shoes,shoe456,Parent,2000.00,879426004141,,,"<p>shoes with different size and color.</p>
"
shoes,shoe457,Variants,2000.00,,,,"<p>shoes with different size and color.</p>
"
shoes,shoe459,Variants,2000.00,,,,"<p>shoes with different size and color.</p>
"
shoes,shoe458,Variants,2000.00,,bb12144585,,"<p>shoes with different size and color.</p>
"
jeans2,je3,Parent,14.00,,,,"good to wear"
jeans2,je5,Variants,14.00,,,,"good to wear"
jeans2,je4,Variants,14.00,,,,"good to wear"
,spec2,"No Variants",13.00,12345689011,,spec2,"having good lens and good manufacture"
,ball78,"No Variants",500.00,576788993822,,ball78,"Good quality basketball"
,bikes07,"No Variants",80000.00,655768845891,,bikes07,"Two wheeler bike."
watch2,wat3,Parent,12.00,852963789852,,,"<p>good</p>
"
watch2,wat4,Variants,12.00,,,,"<p>good</p>
"
,tv67,"No Variants",50000.00,,,,"colored television with hd graphics."
,computer81,"No Variants",50000.00,678845920915,,computer81,"hp computer"
,pen1,"No Variants",11.00,,,pen1,"smooth to write"
,ear3,"No Variants",12.00,156789043223,,ear3,"good to listen"
,watch91,"No Variants",3000.00,566734987869,,watch91,"branded watch."
,ha3,"No Variants",9.00,,,ha3,"good to wear"
,tv1,"No Variants",900.00,,,tv1,"good to watch abd best quality."
,shirt99,"No Variants",790.00,345667757714,,shirt99,"Full sleeves blue color shirt."
,suz12,"No Variants",30000.00,,,suz12,"high speed and milage"
skirts,skirt80,Parent,1000.00,,,,"multi colored skirts."
skirts,skirt81,Variants,1000.00,2673859342201,,,"multi colored skirts."
pens12,pens1,Parent,13.00,,,,"good to write"
pens12,pens3,Variants,13.00,,,,"good to write"
pens12,pens2,Variants,13.00,,,,"good to write"
,lunch35,"No Variants",400.00,,,lunch35,"lunch box."
,mobile33,"No Variants",15000.00,,,mobile33,"samsung mobile"
,foo2,"No Variants",18.00,456789213085,,foo2,"good to kick"
,notebook34,"No Variants",100.00,,,notebook34,"classmate notebook."
bats3,bat3,Parent,22.00,,bs12124578,,"<p>easy to hit</p>
"
bats3,bat4,Variants,22.00,,,,"<p>easy to hit</p>
"
,ac56,"No Variants",40000.00,985689546221,,ac56,"LG air conditioner."
,sandal34,"No Variants",500.00,,,sandal34,"women's sandals."
,sam2,"No Variants",23.00,,,sam2,good
,lens12,"No Variants",500.00,,,lens12,"focus clear and have 32 mp"
,ced_98631352345,"No Variants",43.00,,,,dsee
product001,product231,Parent,100.00,,,,test
product001,product232,Variants,100.00,,,,test
,ac2,"No Variants",500.00,,,ac2,"cool air and have high warrenty"
sunglass,sunglass123,Parent,45.00,,,,"Sunglass with UV protection."
sunglass,sunglass124,Variants,45.00,,,,"Sunglass with UV protection."
"school bags",bag11,Parent,1500.00,,,,"puma school bags"
"school bags",bag12,Variants,1500.00,,,,"puma school bags"
"school bags",bag14,Variants,1500.00,,,,"puma school bags"
"school bags",bag13,Variants,1500.00,,,,"puma school bags"
,kit12,"No Variants",13.00,198765432003,,kit12,"very tasty and delicious to eat."
,bike12,"No Variants",3000.00,147890246788,,bike12,good
,pd12,"No Variants",56.00,,,pd12,"It is 8 GB PD with good memory in size."
,glass123,"No Variants",1000.00,,,,"black color sunglass."
,abc123456,"No Variants",120.00,,,,gtfggfgfgfgfggffg
testvarient,testvarient2,Parent,21.00,,ab78854521,,"<p>testvarient</p>
"
testvarient,testvarient4,Variants,24.00,,,,"<p>testvarient</p>
"
testvarient,testvarient3,Variants,22.00,,,,"<p>testvarient</p>
"
newtestvariant,newtestvariant1,Parent,30.00,,,Mpn0033,"<p>newtestvariantnewtestvariant</p>
"
newtestvariant,newtestvariant3,Variants,32.00,,,,"<p>newtestvariantnewtestvariant</p>
"
newtestvariant,newtestvariant2,Variants,31.00,,,,"<p>newtestvariantnewtestvariant</p>
"
,Importtest1,"No Variants",78.00,785414589647,,,"<p>Import test1</p>
"
"import test2",importtest2,Parent,99.00,,,,"import test2import test2import test2"
"import test2",importtest3,Variants,99.00,,,,"import test2import test2import test2"
"import test2",importtest4,Variants,99.00,,,,"import test2import test2import test2"
,xxxx,"No Variants",88.00,784215987456,,,"<p>xxxxx</p>
"
,ced_679548616729,"No Variants",0.00,,,,jgfhjghff
